thread_id,timestamp,total_url_passed,email_found,social_link_found
0,2023-11-28 19:25:10.191557,20,7,0
1,2023-11-28 19:25:16.865452,20,13,0
2,2023-11-28 19:29:06.719920,20,13,0
3,2023-11-28 19:29:10.731695,20,7,0
4,2023-11-28 19:40:28.191764,20,13,0
5,2023-11-28 19:40:45.297569,20,7,0
