thread_id,last_updated,total_url_passed,email_found,social_link_found,completed_urls,total_requests
3,2024-01-26 18:18:56.193007,30,30,5,12,30
1,2024-01-26 18:18:14.904058,30,15,6,12,29
0,2024-01-26 18:19:07.437252,30,21,5,15,30
2,2024-01-26 18:19:01.359971,30,25,5,16,30
